,State Name,x,y
0,Andhra Pradesh,-56,-146
1,Arunachal Pradesh,206,126
2,Assam,180,82
3,Bihar,53,63
4,Chhattisgarh,-8,-26
5,Goa,-156,-136
6,Gujarat,-193,12
7,Haryana,-103,131
8,Himachal Pradesh,-90,188
9,Jharkhand,49,21
10,Karnataka,-126,-160
11,Kerala,-111,-239
12,Madhya Pradesh,-73,16
13,Maharashtra,-139,-63
14,Manipur,205,52
15,Meghalaya,157,67
16,Mizoram,192,24
17,Nagaland,212,83
18,Odisha,44,-37
19,Punjab,-116,162
20,Rajasthan,-154,82
21,Sikkim,106,102
22,Tamil Nadu,-73,-224
23,Telangana ,-58,-91
24,Tripura,169,30
25,Uttarakhand,-55,153
26,Uttar Pradesh ,-41,89
27,West Bengal,101,15
28,Andaman & Nicobar Islands,179,-183
29,"Dadra and Nagar Haveli and
 Daman & Diu",-188,-32
30,Jammu & Kashmir,-129,221
31,Lakshadweep,-194,-184
32,Chandigarh,-95,155
33,Delhi,-90,121
34,Ladakh,-97,244
35,Puducherry,-57,-258
